,Date,Ozone,CO,SO2,NO2,PM10,PM2.5,Station,Year,Month,DayName,Season,AQI,AQI_Category,Zone
0,2021-01-08,18.48,0.88,9.89,19.15,59.77,45.89,"DTU, Delhi - CPCB",2021,1,Friday,winter,59.77,2,North West Delhi
1,2021-02-08,17.44,0.98,12.87,21.79,56.22,44.42,"DTU, Delhi - CPCB",2021,2,Monday,winter,56.22,2,North West Delhi
2,2021-03-08,13.18,0.54,13.88,23.08,53.49,33.9,"DTU, Delhi - CPCB",2021,3,Monday,summer,53.49,2,North West Delhi
3,2021-04-08,19.4,0.5,12.16,23.56,69.66,35.7,"DTU, Delhi - CPCB",2021,4,Thursday,summer,69.66,2,North West Delhi
4,2021-05-08,21.78,0.54,12.05,24.25,86.49,48.55,"DTU, Delhi - CPCB",2021,5,Saturday,summer,86.49,2,North West Delhi
5,2021-06-08,20.77,0.64,8.86,38.81,91.74,42.44,"DTU, Delhi - CPCB",2021,6,Tuesday,monsoon,91.74,2,North West Delhi
6,2021-07-08,15.96,0.81,8.28,24.04,98.51,57.15,"DTU, Delhi - CPCB",2021,7,Thursday,monsoon,98.51,2,North West Delhi
7,2021-08-08,13.84,0.89,7.55,28.19,64.09,49.75,"DTU, Delhi - CPCB",2021,8,Sunday,monsoon,64.09,2,North West Delhi
8,2021-09-08,14.77,1.19,7.7,30.15,88.0,58.02,"DTU, Delhi - CPCB",2021,9,Wednesday,pre-monsoon,88.0,2,North West Delhi
9,2021-10-08,14.54,0.58,7.71,29.09,149.79,46.72,"DTU, Delhi - CPCB",2021,10,Friday,pre-monsoon,149.79,3,North West Delhi
10,2021-11-08,15.95,0.48,8.15,44.66,164.97,53.16,"DTU, Delhi - CPCB",2021,11,Monday,pre-monsoon,164.97,3,North West Delhi
11,2021-12-08,39.92,0.41,8.24,26.57,151.31,40.67,"DTU, Delhi - CPCB",2021,12,Wednesday,winter,151.31,3,North West Delhi
12,2021-08-13,66.02,0.47,7.46,22.04,167.99,41.29,"DTU, Delhi - CPCB",2021,8,Friday,monsoon,167.99,3,North West Delhi
13,2021-08-14,68.92,0.43,7.37,23.75,190.31,42.79,"DTU, Delhi - CPCB",2021,8,Saturday,monsoon,190.31,3,North West Delhi
14,2021-08-15,68.21,0.43,8.16,20.61,123.48,37.18,"DTU, Delhi - CPCB",2021,8,Sunday,monsoon,123.48,3,North West Delhi
15,2021-08-16,57.5,0.48,7.28,20.99,134.95,40.98,"DTU, Delhi - CPCB",2021,8,Monday,monsoon,134.95,3,North West Delhi
16,2021-08-17,53.16,0.63,7.48,18.93,159.26,55.64,"DTU, Delhi - CPCB",2021,8,Tuesday,monsoon,159.26,3,North West Delhi
17,2021-08-18,57.0,0.75,7.54,21.59,167.05,66.42,"DTU, Delhi - CPCB",2021,8,Wednesday,monsoon,167.05,3,North West Delhi
18,2021-08-19,64.39,1.02,7.75,30.64,181.2,84.47,"DTU, Delhi - CPCB",2021,8,Thursday,monsoon,181.2,3,North West Delhi
19,2021-08-20,56.36,0.68,9.13,24.28,66.46,45.09,"DTU, Delhi - CPCB",2021,8,Friday,monsoon,66.46,2,North West Delhi
20,2021-08-21,45.26,0.57,7.63,24.01,24.6,28.0,"DTU, Delhi - CPCB",2021,8,Saturday,monsoon,45.26,0,North West Delhi
21,2021-08-22,39.06,0.94,7.44,46.07,46.83,38.59,"DTU, Delhi - CPCB",2021,8,Sunday,monsoon,46.83,0,North West Delhi
22,2021-08-23,41.03,0.78,6.6,30.66,71.74,41.84,"DTU, Delhi - CPCB",2021,8,Monday,monsoon,71.74,2,North West Delhi
23,2021-08-24,39.93,1.07,7.41,29.03,93.19,51.28,"DTU, Delhi - CPCB",2021,8,Tuesday,monsoon,93.19,2,North West Delhi
24,2021-08-25,44.65,0.65,7.61,32.64,141.03,45.47,"DTU, Delhi - CPCB",2021,8,Wednesday,monsoon,141.03,3,North West Delhi
25,2021-08-26,47.87,0.52,6.86,27.0,158.52,45.32,"DTU, Delhi - CPCB",2021,8,Thursday,monsoon,158.52,3,North West Delhi
26,2021-08-27,41.37,0.47,6.88,29.94,158.08,46.5,"DTU, Delhi - CPCB",2021,8,Friday,monsoon,158.08,3,North West Delhi
27,2021-08-28,31.44,0.77,6.91,38.53,123.63,47.74,"DTU, Delhi - CPCB",2021,8,Saturday,monsoon,123.63,3,North West Delhi
28,2021-08-29,34.54,0.79,7.14,25.47,116.87,58.68,"DTU, Delhi - CPCB",2021,8,Sunday,monsoon,116.87,3,North West Delhi
29,2021-08-30,32.27,0.42,7.63,25.33,46.3,25.59,"DTU, Delhi - CPCB",2021,8,Monday,monsoon,46.3,0,North West Delhi
30,2021-08-31,33.01,0.62,7.24,27.81,39.15,29.47,"DTU, Delhi - CPCB",2021,8,Tuesday,monsoon,39.15,0,North West Delhi
31,2021-01-09,33.35,0.53,7.11,23.23,28.48,31.18,"DTU, Delhi - CPCB",2021,1,Saturday,winter,33.35,0,North West Delhi
32,2021-02-09,34.63,0.93,7.46,22.78,53.21,42.23,"DTU, Delhi - CPCB",2021,2,Tuesday,winter,53.21,2,North West Delhi
33,2021-03-09,33.25,0.56,8.53,27.61,45.6,37.07,"DTU, Delhi - CPCB",2021,3,Tuesday,summer,45.6,0,North West Delhi
34,2021-04-09,29.96,1.3,8.71,32.74,50.65,40.13,"DTU, Delhi - CPCB",2021,4,Friday,summer,50.65,2,North West Delhi
35,2021-05-09,39.8,1.68,9.96,31.81,78.56,48.88,"DTU, Delhi - CPCB",2021,5,Sunday,summer,78.56,2,North West Delhi
36,2021-06-09,45.01,1.56,8.55,33.14,94.23,66.59,"DTU, Delhi - CPCB",2021,6,Wednesday,monsoon,94.23,2,North West Delhi
37,2021-07-09,40.35,0.58,8.55,25.04,70.27,45.95,"DTU, Delhi - CPCB",2021,7,Friday,monsoon,70.27,2,North West Delhi
38,2021-08-09,39.22,0.66,8.7,26.7,73.63,36.32,"DTU, Delhi - CPCB",2021,8,Monday,monsoon,73.63,2,North West Delhi
39,2021-09-09,44.57,0.71,8.88,34.95,80.16,41.9,"DTU, Delhi - CPCB",2021,9,Thursday,pre-monsoon,80.16,2,North West Delhi
40,2021-10-09,38.25,0.58,8.89,30.49,72.74,41.77,"DTU, Delhi - CPCB",2021,10,Saturday,pre-monsoon,72.74,2,North West Delhi
41,2021-11-09,35.2,0.44,8.78,29.61,31.49,31.73,"DTU, Delhi - CPCB",2021,11,Tuesday,pre-monsoon,35.2,0,North West Delhi
42,2021-12-09,34.77,0.56,8.83,25.28,53.58,37.69,"DTU, Delhi - CPCB",2021,12,Thursday,winter,53.58,2,North West Delhi
43,2021-09-13,35.23,0.65,8.89,24.77,51.81,35.27,"DTU, Delhi - CPCB",2021,9,Monday,pre-monsoon,51.81,2,North West Delhi
